CustomerCode,CustomerName,LocationCode,Address
22DURA,DURA STAINLESS & S/M MFG LTD,,
2CBI,CBI MANUFACTURING LTD,,
2EMCCB,EMCO CORP #752 - CRANBROOK,,
2EMCNA,EMCO CORP #821 - NANAIMO,,
2EMCOB,EMCO CORP #822 - BURNABY,,
32A&S,A&S CUSTOM HVAC ~COD,,
32AB,1300525 ALBERTA LTD,,
32ACAD,HUTTERIAN BRETHREN-ACADIA,,
32ACS,ALLIED CUSTOM SOLUTIONS,,
32ACSM,ACCESS CUSTOM SHEET METAL INC,,
32ADVA,ADVANTAGE HTG & A/C INC,,
32AES,ADVANCED ENERGY SOLUTIONS INC,,
32AIRT,AIR-TECH LTD,,
32AK,AK BROWN LTD,,
32ALBI,ALBION RIDGE WELDING,,
32ALCF,ALLIANCE CUSTOM FABRICATIONLTD,,
32ALGG,ALGGIN METAL INDUSTRIES LTD,,
32ALIM,ALLIED METAL LTD,,
32ALLO,ALLOY TRUCK EQUIPMENT LTD,,
32ALLT,ALLTRACK INC,,
32ALTW,ALTAWELD (1999) INC,,
32AMMS,ALL METAL MFG SERVICES INC,,
32AND,ANDERSEN'S STEEL FABRICATION,,
32ARGO,ARGO SALES LP,,
32ARIE,ARIES / AIRFLO HEATING & A/C,,
32ARK,ARKTON STEEL INC,,
32ARMO,ARMOR BUILDING SYSTEMS LTD,,
32ARON,AARON MACHINE SHOP LTD,,
32ARPI,ARPI'S INDUSTRIES LTD,,
32ARRO,HUTTERIAN BRETHREN-ARROWWOOD,,
32ASM,ASM INDUSTRIES,,
32ATP,ATP CANADA,,
32AUAR,ALBERTA UNIVERSITY OF THE ARTS,,
32AVAL,AVALANCHE AIR SYSTEMS LTD,,
32BAKR,BAKER HUTTERIAN BRETHREN,,
32BASI,BASIC TOOL + DIE INC,,
32BAUM,BAUMANN'S VENT. & PLBG LTD,,
32BENK,BENKIN SHEET METAL 2008 LTD,,
32BERU,BERUN SHEET METAL LTD.,,
32BHL,BHL INSULATION & CONSTRUCT~COD,,
32BIG,BIG FOOT METAL SYSTEMS LTD,,
32BIGH,BIGHORN SHEET METAL LTD,,
32BLUE,BLUE SKY FARMING CO,,
32BMW,BMW ROOFING & SIDING LTD,,
32BOMA,BOMA ENTERPRISES LTD. ~COD,,
32BRAN,BRANT FARMING COMPANY,,
32BRAT,BRATT JET INC,,
32BRI,BRIMARK METAL MFG LTD,,
32BRIT,BRITESTONE FARMING CO LTD,,
32BROM,BROMLEY MECH SERV (1985) LTD,,
32BROO,BROOKS INDUSTRIAL METALS LTD,,
32BUD,BUDRICH INDUSTRIES (DBA),,
32CAIR,SERVICE EXPERTS HTG & A/C INC,,
32CALG,CALGARY ALUM CUSTOM FAB LTD,,
32CALH,CALHEX INDUSTRIES LTD,,
32CALP,CALGARY PRECISION METAL LTD,,
32CAME,CAMERON FARMS COLONY LTD,,
32CAN,CANAM GROUP INC,,
